userID,placeID,rating,food_rating,service_rating
U1077,135085,2,2,2
U1068,135104,1,1,2
U1067,132584,2,2,2
U1103,132584,1,2,1
U1107,132660,2,2,1
U1044,135088,2,2,2
U1070,132608,2,2,1
U1031,132663,0,0,0
U1082,132630,1,1,1
U1023,132715,0,0,0
U1060,132564,2,2,2
U1015,135071,0,0,0
U1123,132733,1,2,1
U1021,132740,2,2,1
U1026,132626,2,2,2
U1083,135034,2,2,2
U1108,135075,2,2,2
U1012,135001,1,1,2
U1093,135019,2,2,2
U1030,135018,2,2,2
U1066,135011,1,2,2
U1127,134975,2,2,2
U1017,132768,1,1,1
U1100,135021,2,1,0
U1133,134983,1,1,1
U1118,134987,0,0,0
U1072,135016,1,2,2
U1080,132668,1,1,1
U1063,132660,2,2,2
U1074,135011,2,1,2
U1117,135018,1,1,1
U1020,135088,1,2,0
U1051,135088,1,1,1
U1055,135051,1,2,2
U1053,135076,1,1,1
U1035,135018,1,2,1
U1064,135042,1,2,1
U1081,135069,1,0,1
U1001,132830,1,1,1
U1014,135076,1,2,1
U1088,132830,0,2,2
U1056,135066,2,2,2
U1134,135047,1,1,1
U1106,135041,1,1,1
U1126,135069,0,0,0
U1124,135054,1,1,1
U1018,135043,0,0,0
U1125,135043,1,1,2
U1119,134986,2,2,2
U1076,135039,2,2,1
U1022,135040,0,0,0
U1094,135054,0,0,0
U1116,135047,2,2,2
U1105,135057,0,0,0
U1075,135081,1,2,1
U1007,135108,1,1,1
U1115,135057,2,2,2
U1024,132834,1,1,1
U1132,135038,1,1,1
U1005,135050,1,2,1
U1120,135085,0,0,0
U1004,135060,1,1,1
U1037,135054,2,1,1
U1052,132851,1,0,2
U1036,132834,1,2,2
U1038,132854,1,2,2
U1071,132862,2,2,2
U1114,135053,0,0,0
U1084,135058,1,0,2
U1049,132825,0,0,0
U1019,132830,0,0,0
U1069,135070,0,0,0
U1113,135038,1,2,0
U1104,135039,0,0,1
U1079,134986,2,2,2
U1045,132825,2,1,1
U1009,132754,1,2,1
U1016,132834,2,2,2
U1047,132875,0,0,0
U1095,132872,1,2,2
U1034,135086,1,1,1
U1078,132885,1,1,1
U1099,135076,1,1,0
U1008,132866,1,1,1
U1040,132773,1,1,1
U1121,135021,0,0,0
U1110,135021,1,2,1
U1042,132768,2,2,1
U1013,135079,1,1,1
U1054,135062,2,2,0
U1111,132845,2,2,1
U1128,132872,0,0,0
U1062,132872,0,0,0
U1101,135039,1,1,1
U1135,135085,0,0,0
U1032,132872,1,1,1
U1048,135049,1,0,2
U1092,135071,1,0,0
U1085,135043,2,2,2
U1109,135028,2,2,2
U1102,132846,2,2,2
U1098,132885,1,1,0
U1046,135026,1,0,2
U1122,135066,2,1,1
U1138,132921,2,2,1
U1033,135065,1,1,1
U1089,135058,1,1,1
U1003,135064,0,0,0
U1091,132825,0,1,1
U1027,135066,0,0,0
U1029,135047,1,1,1
U1086,135063,1,1,1
U1137,132951,2,2,2
U1090,132572,1,1,2
U1061,132825,1,2,1
U1041,135001,1,1,1
U1059,135064,1,1,0
U1112,135047,0,0,0
U1057,135070,1,1,1
U1025,132866,2,1,2
U1097,135079,2,1,0
U1006,132954,1,1,1
U1131,135054,2,1,2
U1073,135062,0,0,0
U1058,135076,2,2,2
U1002,132921,2,1,1
U1096,132875,2,2,2
U1136,135074,1,1,2
U1010,135053,1,1,1
U1028,132732,1,1,1
U1050,132732,0,1,1
U1129,132706,0,0,1
U1087,132667,2,2,1
U1065,132626,1,0,1
U1039,132626,2,2,1
U1130,132654,0,0,0
U1043,132608,1,1,1
U1011,132717,2,2,1
